Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
01/01/2015 00:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 00:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 00:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 00:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 01:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 01:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 01:00,90241,60,3,West 2,1,West,1,Checked
01/01/2015 01:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 02:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 02:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 02:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 02:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 03:00,90241,60,1,West 1,1,West,2,Checked
01/01/2015 03:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 03:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 03:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 04:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 04:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 04:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 04:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 05:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 05:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 05:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 05:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 06:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 06:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 06:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 06:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 07:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 07:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 07:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 07:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 08:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 08:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 08:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 08:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 09:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 09:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 09:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 09:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 10:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 10:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 10:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 10:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 11:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 11:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 11:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 11:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 12:00,90241,60,1,West 1,1,West,2,Checked
01/01/2015 12:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 12:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 12:00,90241,60,4,East 2,2,East,1,Checked
01/01/2015 13:00,90241,60,1,West 1,1,West,1,Checked
01/01/2015 13:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 13:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 13:00,90241,60,4,East 2,2,East,1,Checked
01/01/2015 14:00,90241,60,1,West 1,1,West,1,Checked
01/01/2015 14:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 14:00,90241,60,3,West 2,1,West,1,Checked
01/01/2015 14:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 15:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 15:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
01/01/2015 15:00,90241,60,3,West 2,1,West,0,"Run of Zeroes,Checked"
01/01/2015 15:00,90241,60,4,East 2,2,East,0,"Run of Zeroes,Checked"
01/01/2015 16:00,90241,60,1,West 1,1,West,0,"Run of Zeroes,Checked"
01/01/2015 16:00,90241,60,2,East 1,2,East,0,"Run of Zeroes,Checked"
